Nível,Data e Hora,Fonte,Identificação do Evento,Categoria da Tarefa
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {021E4F06-9DCC-49AD-88CF-ECC2DA314C8A} não se registrou no DCOM dentro do tempo limite necessário.
Erro,02/08/2025 12:37:16,Microsoft-Windows-DistributedCOM,10010,Nenhum,O servidor {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} não se registrou no DCOM dentro do tempo limite necessário.
